Welcome to Yade 2020.01a 
Using python version: 3.8.10 (default, Mar 13 2023, 10:26:41) 
[GCC 9.4.0]
Warning: no X rendering available (see https://bbs.archlinux.org/viewtopic.php?id=13189)
XMLRPC info provider on http://localhost:21004
nbSpheres= 9976.0  | Rmean= 0.031127148105453077  | Rmax/Rmin= 1.9973438683632665
K= 12.75541299117883
ISOTROPIC CONFINEMENT!
unbalanced force: 1.9104854205991801  mean stress:  6.697424916439313
unbalanced force: 2.175908377104842  mean stress:  192.83665337178454
unbalanced force: 1.5300176032913866  mean stress:  6.71435078736381
unbalanced force: 1.9018069824233952  mean stress:  6.6765647459651225
unbalanced force: 2.180809514850147  mean stress:  193.16480360011215
unbalanced force: 1.52905219339559  mean stress:  6.699374068643356
unbalanced force: 1.9102441247891209  mean stress:  6.6882944537702445
unbalanced force: 2.182912348663648  mean stress:  192.98056884166542
unbalanced force: 1.5235966581427522  mean stress:  6.695020963061647
unbalanced force: 1.9023848881454186  mean stress:  6.690634843963648
unbalanced force: 2.1709948631927842  mean stress:  193.03493301343602
unbalanced force: 1.5340121773371929  mean stress:  6.70217043066545
unbalanced force: 1.908408469418207  mean stress:  6.6925572917975735
unbalanced force: 2.175457506860245  mean stress:  193.14193258866592
unbalanced force: 1.5196925188119854  mean stress:  6.70645399734865
unbalanced force: 1.9109252780984554  mean stress:  6.692555280251976
unbalanced force: 2.180379654527897  mean stress:  193.02078360123667
unbalanced force: 1.523950410866127  mean stress:  6.698478455920622
unbalanced force: 1.9050398175955674  mean stress:  6.688389421458036
unbalanced force: 2.182051079982452  mean stress:  189.62085240522325
unbalanced force: 1.523473234865691  mean stress:  6.706565390492021
unbalanced force: 1.8972993835285041  mean stress:  6.691699050561085
unbalanced force: 2.188296388476143  mean stress:  189.4801212800436
unbalanced force: 1.5279143366473913  mean stress:  6.708110895448613
unbalanced force: 1.9138427061507002  mean stress:  6.694222829438652
unbalanced force: 2.1854519779619697  mean stress:  189.57952401836107
unbalanced force: 1.5345141808883522  mean stress:  6.683814369653511
unbalanced force: 1.8954486263856463  mean stress:  6.697447133138205
unbalanced force: 2.178369219440287  mean stress:  186.36442792878532
unbalanced force: 1.5218483659560194  mean stress:  6.708409582557091
unbalanced force: 1.891998277254724  mean stress:  6.694738949436496
unbalanced force: 2.1797554697174935  mean stress:  186.55574294564647
unbalanced force: 1.5224182616296482  mean stress:  6.707890388466225
unbalanced force: 1.8971150488954716  mean stress:  6.6759506567833755
unbalanced force: 2.1843836694768095  mean stress:  186.5457079587193
unbalanced force: 1.5269171553808123  mean stress:  6.685052522125342
unbalanced force: 1.8861422945677635  mean stress:  6.710628780408683
unbalanced force: 2.167370672573511  mean stress:  186.48060142930277
unbalanced force: 1.5126147648089827  mean stress:  6.703948377233631
unbalanced force: 1.897488479950792  mean stress:  6.693607975005327
unbalanced force: 2.1825250914960437  mean stress:  186.75603140337782
unbalanced force: 1.5248572285242643  mean stress:  6.699364985664633
unbalanced force: 1.8770827567735457  mean stress:  6.693618493643179
unbalanced force: 2.179004845565108  mean stress:  186.50919128746
unbalanced force: 1.5190106231541947  mean stress:  6.700796764737452
unbalanced force: 1.889931145106028  mean stress:  6.701014694409781
unbalanced force: 2.1814390450201873  mean stress:  186.57087634734933
unbalanced force: 1.5254967440391942  mean stress:  6.692975545746762
unbalanced force: 1.889412155274893  mean stress:  6.702530985479338
unbalanced force: 2.187382542595448  mean stress:  186.66751149440515
unbalanced force: 1.5253187769821046  mean stress:  6.680258661026291
unbalanced force: 1.899148114599716  mean stress:  6.6946167394767
unbalanced force: 2.188985558474146  mean stress:  186.51536962766866
unbalanced force: 1.5313950653345563  mean stress:  6.686550169924172
unbalanced force: 1.899093529106976  mean stress:  6.686162803905127
unbalanced force: 2.175854473579269  mean stress:  186.2953651153375
unbalanced force: 1.5125751800716776  mean stress:  6.708009621389807
unbalanced force: 1.9034581868788951  mean stress:  6.689497802850575
unbalanced force: 2.1801363095722794  mean stress:  186.39593735210656
unbalanced force: 1.5323199461428432  mean stress:  6.680719408984186
unbalanced force: 1.8904546773436852  mean stress:  6.692208307583237
unbalanced force: 2.1801343367078627  mean stress:  186.5667650362807
unbalanced force: 1.5348170060773363  mean stress:  6.679864570455119
unbalanced force: 1.8914215674908412  mean stress:  6.68960072254314
unbalanced force: 2.186860989149779  mean stress:  186.3373099998115
